Year,SERIES,UNIT_MEASURE,Value
2000,Званични грантови за развојну помоћ за смањење сиромаштва по земљама примаоцима (проценат БНД-а),Проценат,0.50427
2001,Званични грантови за развојну помоћ за смањење сиромаштва по земљама примаоцима (проценат БНД-а),Проценат,0.93125
2002,Званични грантови за развојну помоћ за смањење сиромаштва по земљама примаоцима (проценат БНД-а),Проценат,0.13714
2003,Званични грантови за развојну помоћ за смањење сиромаштва по земљама примаоцима (проценат БНД-а),Проценат,0.25946
2004,Званични грантови за развојну помоћ за смањење сиромаштва по земљама примаоцима (проценат БНД-а),Проценат,0.23321
2005,Званични грантови за развојну помоћ за смањење сиромаштва по земљама примаоцима (проценат БНД-а),Проценат,0.1206
2006,Званични грантови за развојну помоћ за смањење сиромаштва по земљама примаоцима (проценат БНД-а),Проценат,0.14395
2007,Званични грантови за развојну помоћ за смањење сиромаштва по земљама примаоцима (проценат БНД-а),Проценат,0.10574
2008,Званични грантови за развојну помоћ за смањење сиромаштва по земљама примаоцима (проценат БНД-а),Проценат,0.0942
2009,Званични грантови за развојну помоћ за смањење сиромаштва по земљама примаоцима (проценат БНД-а),Проценат,0.06307
2010,Званични грантови за развојну помоћ за смањење сиромаштва по земљама примаоцима (проценат БНД-а),Проценат,0.14942
2011,Званични грантови за развојну помоћ за смањење сиромаштва по земљама примаоцима (проценат БНД-а),Проценат,0.18138
2012,Званични грантови за развојну помоћ за смањење сиромаштва по земљама примаоцима (проценат БНД-а),Проценат,0.27539
2013,Званични грантови за развојну помоћ за смањење сиромаштва по земљама примаоцима (проценат БНД-а),Проценат,0.16629
2014,Званични грантови за развојну помоћ за смањење сиромаштва по земљама примаоцима (проценат БНД-а),Проценат,0.09827
2015,Званични грантови за развојну помоћ за смањење сиромаштва по земљама примаоцима (проценат БНД-а),Проценат,0.26383
2016,Званични грантови за развојну помоћ за смањење сиромаштва по земљама примаоцима (проценат БНД-а),Проценат,0.16277
2017,Званични грантови за развојну помоћ за смањење сиромаштва по земљама примаоцима (проценат БНД-а),Проценат,0.13437
2018,Званични грантови за развојну помоћ за смањење сиромаштва по земљама примаоцима (проценат БНД-а),Проценат,0.07866
2019,Званични грантови за развојну помоћ за смањење сиромаштва по земљама примаоцима (проценат БНД-а),Проценат,0.1
