Year,SERIES,UNIT_MEASURE,Value
2006,Запосленост у прерађивачкој индустрији као удио укупне запослености,Проценат,17.0
2007,Запосленост у прерађивачкој индустрији као удио укупне запослености,Проценат,17.9
2008,Запосленост у прерађивачкој индустрији као удио укупне запослености,Проценат,16.6
2009,Запосленост у прерађивачкој индустрији као удио укупне запослености,Проценат,16.4
2010,Запосленост у прерађивачкој индустрији као удио укупне запослености,Проценат,16.8
2011,Запосленост у прерађивачкој индустрији као удио укупне запослености,Проценат,16.0
2012,Запосленост у прерађивачкој индустрији као удио укупне запослености,Проценат,15.5
2013,Запосленост у прерађивачкој индустрији као удио укупне запослености,Проценат,16.0
2014,Запосленост у прерађивачкој индустрији као удио укупне запослености,Проценат,16.1
2015,Запосленост у прерађивачкој индустрији као удио укупне запослености,Проценат,16.1
2016,Запосленост у прерађивачкој индустрији као удио укупне запослености,Проценат,17.3
2017,Запосленост у прерађивачкој индустрији као удио укупне запослености,Проценат,16.5
2018,Запосленост у прерађивачкој индустрији као удио укупне запослености,Проценат,17.7
2019,Запосленост у прерађивачкој индустрији као удио укупне запослености,Проценат,18.6
