Year,SERIES,UNIT_MEASURE,Године,Пол,Value
2000,Потрошња алкохола по становнику (старости од 15 година и више) у календарској години,Литри,15 година и више,Оба пола или без подјеле по полу,6.37127
2005,Потрошња алкохола по становнику (старости од 15 година и више) у календарској години,Литри,15 година и више,Оба пола или без подјеле по полу,7.2005
2010,Потрошња алкохола по становнику (старости од 15 година и више) у календарској години,Литри,15 година и више,Оба пола или без подјеле по полу,7.32246
2015,Потрошња алкохола по становнику (старости од 15 година и више) у календарској години,Литри,15 година и више,Оба пола или без подјеле по полу,6.92078
2018,Потрошња алкохола по становнику (старости од 15 година и више) у календарској години,Литри,15 година и више,Оба пола или без подјеле по полу,7.14742
2000,Потрошња алкохола по становнику (старости од 15 година и више) у календарској години,Литри,15 година и више,Жене,2.41906
2005,Потрошња алкохола по становнику (старости од 15 година и више) у календарској години,Литри,15 година и више,Жене,2.75297
2010,Потрошња алкохола по становнику (старости од 15 година и више) у календарској години,Литри,15 година и више,Жене,2.80508
2015,Потрошња алкохола по становнику (старости од 15 година и више) у календарској години,Литри,15 година и више,Жене,2.61694
2018,Потрошња алкохола по становнику (старости од 15 година и више) у календарској години,Литри,15 година и више,Жене,2.70457
2000,Потрошња алкохола по становнику (старости од 15 година и више) у календарској години,Литри,15 година и више,Мушкарци,10.56469
2005,Потрошња алкохола по становнику (старости од 15 година и више) у календарској години,Литри,15 година и више,Мушкарци,11.90028
2010,Потрошња алкохола по становнику (старости од 15 година и више) у календарској години,Литри,15 година и више,Мушкарци,12.08914
2015,Потрошња алкохола по становнику (старости од 15 година и више) у календарској години,Литри,15 година и више,Мушкарци,11.45989
2018,Потрошња алкохола по становнику (старости од 15 година и више) у календарској години,Литри,15 година и више,Мушкарци,11.82842
