Year,SERIES,UNIT_MEASURE,Пол,Type_of_skill,Године,Степен урбанизације,Value
2017,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,Коришћење основних аритметичких формула у табели,15 до 24 године,Сва подручја,25.3
2019,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,Коришћење основних аритметичких формула у табели,15 до 24 године,Сва подручја,15.7
2017,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,Коришћење основних аритметичких формула у табели,15 до 24 године,Сва подручја,28.3
2019,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,Коришћење основних аритметичких формула у табели,15 до 24 године,Сва подручја,19.2
2017,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,Коришћење основних аритметичких формула у табели,15 до 24 године,Сва подручја,22.8
2019,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,Коришћење основних аритметичких формула у табели,15 до 24 године,Сва подручја,14.4
2017,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,Коришћење алатки за копирање и љепљење за дуплирање или премештање информација у документу,15 до 24 године,Сва подручја,60.9
2019,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,Коришћење алатки за копирање и љепљење за дуплирање или премештање информација у документу,15 до 24 године,Сва подручја,58.7
2021,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,Коришћење алатки за копирање и љепљење за дуплирање или премештање информација у документу,15 до 24 године,Сва подручја,75.1
2023,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,Коришћење алатки за копирање и љепљење за дуплирање или премештање информација у документу,15 до 24 године,Сва подручја,88.5
2017,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,Коришћење алатки за копирање и љепљење за дуплирање или премештање информација у документу,15 до 24 године,Сва подручја,60.9
2019,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,Коришћење алатки за копирање и љепљење за дуплирање или премештање информација у документу,15 до 24 године,Сва подручја,58.7
2021,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,Коришћење алатки за копирање и љепљење за дуплирање или премештање информација у документу,15 до 24 године,Сва подручја,74.3
2023,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,Коришћење алатки за копирање и љепљење за дуплирање или премештање информација у документу,15 до 24 године,Сва подручја,89.7
2017,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,Коришћење алатки за копирање и љепљење за дуплирање или премештање информација у документу,15 до 24 године,Сва подручја,59.2
2019,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,Коришћење алатки за копирање и љепљење за дуплирање или премештање информација у документу,15 до 24 године,Сва подручја,58.7
2021,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,Коришћење алатки за копирање и љепљење за дуплирање или премештање информација у документу,15 до 24 године,Сва подручја,76.1
2023,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,Коришћење алатки за копирање и љепљење за дуплирање или премештање информација у документу,15 до 24 године,Сва подручја,87.7
2017,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,"Читање или преузимање онлајн новина, часописа или електронских књига",15 до 24 године,Сва подручја,6.1
2019,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,"Читање или преузимање онлајн новина, часописа или електронских књига",15 до 24 године,Сва подручја,81.2
2020,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,"Читање или преузимање онлајн новина, часописа или електронских књига",15 до 24 године,Сва подручја,72.7
2021,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,"Читање или преузимање онлајн новина, часописа или електронских књига",15 до 24 године,Сва подручја,72.3
2023,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,"Читање или преузимање онлајн новина, часописа или електронских књига",15 до 24 године,Сва подручја,89.9
2017,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,"Читање или преузимање онлајн новина, часописа или електронских књига",15 до 24 године,Сва подручја,5.2
