Year,SERIES,UNIT_MEASURE,Value
2000,Учесталост туберкулозе,На 100.000 становника,83
2001,Учесталост туберкулозе,На 100.000 становника,82
2002,Учесталост туберкулозе,На 100.000 становника,56
2003,Учесталост туберкулозе,На 100.000 становника,59
2004,Учесталост туберкулозе,На 100.000 становника,78
2005,Учесталост туберкулозе,На 100.000 становника,70
2006,Учесталост туберкулозе,На 100.000 становника,59
2007,Учесталост туберкулозе,На 100.000 становника,79
2008,Учесталост туберкулозе,На 100.000 становника,57
2009,Учесталост туберкулозе,На 100.000 становника,58
2010,Учесталост туберкулозе,На 100.000 становника,45
2011,Учесталост туберкулозе,На 100.000 становника,46
2012,Учесталост туберкулозе,На 100.000 становника,49
2013,Учесталост туберкулозе,На 100.000 становника,44
2014,Учесталост туберкулозе,На 100.000 становника,43
2015,Учесталост туберкулозе,На 100.000 становника,40
2016,Учесталост туберкулозе,На 100.000 становника,33
2017,Учесталост туберкулозе,На 100.000 становника,29
2018,Учесталост туберкулозе,На 100.000 становника,25
