Year,SERIES,UNIT_MEASURE,Степен урбанизације,Value
2011,"Годишњи средњи нивои финих честица (пондерисани по популацији), према локацији (микрограми по кубном метру)",Микрограми по кубном метру,Укупно,35.83143
2012,"Годишњи средњи нивои финих честица (пондерисани по популацији), према локацији (микрограми по кубном метру)",Микрограми по кубном метру,Укупно,32.49317
2013,"Годишњи средњи нивои финих честица (пондерисани по популацији), према локацији (микрограми по кубном метру)",Микрограми по кубном метру,Укупно,30.99299
2014,"Годишњи средњи нивои финих честица (пондерисани по популацији), према локацији (микрограми по кубном метру)",Микрограми по кубном метру,Укупно,30.98395
2015,"Годишњи средњи нивои финих честица (пондерисани по популацији), према локацији (микрограми по кубном метру)",Микрограми по кубном метру,Укупно,29.90073
2016,"Годишњи средњи нивои финих честица (пондерисани по популацији), према локацији (микрограми по кубном метру)",Микрограми по кубном метру,Укупно,28.14132
2011,"Годишњи средњи нивои финих честица (пондерисани по популацији), према локацији (микрограми по кубном метру)",Микрограми по кубном метру,Рурално,31.51145
2012,"Годишњи средњи нивои финих честица (пондерисани по популацији), према локацији (микрограми по кубном метру)",Микрограми по кубном метру,Рурално,28.64958
2013,"Годишњи средњи нивои финих честица (пондерисани по популацији), према локацији (микрограми по кубном метру)",Микрограми по кубном метру,Рурално,27.4311
2014,"Годишњи средњи нивои финих честица (пондерисани по популацији), према локацији (микрограми по кубном метру)",Микрограми по кубном метру,Рурално,27.34606
2015,"Годишњи средњи нивои финих честица (пондерисани по популацији), према локацији (микрограми по кубном метру)",Микрограми по кубном метру,Рурално,26.2785
2016,"Годишњи средњи нивои финих честица (пондерисани по популацији), према локацији (микрограми по кубном метру)",Микрограми по кубном метру,Рурално,24.86476
2011,"Годишњи средњи нивои финих честица (пондерисани по популацији), према локацији (микрограми по кубном метру)",Микрограми по кубном метру,Урбано,39.21953
2012,"Годишњи средњи нивои финих честица (пондерисани по популацији), према локацији (микрограми по кубном метру)",Микрограми по кубном метру,Урбано,35.45015
2013,"Годишњи средњи нивои финих честица (пондерисани по популацији), према локацији (микрограми по кубном метру)",Микрограми по кубном метру,Урбано,33.82465
2014,"Годишњи средњи нивои финих честица (пондерисани по популацији), према локацији (микрограми по кубном метру)",Микрограми по кубном метру,Урбано,33.83705
2015,"Годишњи средњи нивои финих честица (пондерисани по популацији), према локацији (микрограми по кубном метру)",Микрограми по кубном метру,Урбано,32.70784
2016,"Годишњи средњи нивои финих честица (пондерисани по популацији), према локацији (микрограми по кубном метру)",Микрограми по кубном метру,Урбано,30.68738
