Year,SERIES,UNIT_MEASURE,Године,Пол,Value
2000,SH_STA_ANEM,Проценат,15 до 49 година,Жене,25.3
2001,SH_STA_ANEM,Проценат,15 до 49 година,Жене,25.0
2002,SH_STA_ANEM,Проценат,15 до 49 година,Жене,24.7
2003,SH_STA_ANEM,Проценат,15 до 49 година,Жене,24.6
2004,SH_STA_ANEM,Проценат,15 до 49 година,Жене,24.5
2005,SH_STA_ANEM,Проценат,15 до 49 година,Жене,24.4
2006,SH_STA_ANEM,Проценат,15 до 49 година,Жене,24.3
2007,SH_STA_ANEM,Проценат,15 до 49 година,Жене,24.2
2008,SH_STA_ANEM,Проценат,15 до 49 година,Жене,24.1
2009,SH_STA_ANEM,Проценат,15 до 49 година,Жене,24.0
2010,SH_STA_ANEM,Проценат,15 до 49 година,Жене,23.9
2011,SH_STA_ANEM,Проценат,15 до 49 година,Жене,23.9
2012,SH_STA_ANEM,Проценат,15 до 49 година,Жене,23.8
2013,SH_STA_ANEM,Проценат,15 до 49 година,Жене,23.8
2014,SH_STA_ANEM,Проценат,15 до 49 година,Жене,23.8
2015,SH_STA_ANEM,Проценат,15 до 49 година,Жене,23.8
2016,SH_STA_ANEM,Проценат,15 до 49 година,Жене,23.8
2017,SH_STA_ANEM,Проценат,15 до 49 година,Жене,23.9
2018,SH_STA_ANEM,Проценат,15 до 49 година,Жене,24.1
2019,SH_STA_ANEM,Проценат,15 до 49 година,Жене,24.4
2000,SH_STA_ANEM_NPRG,Проценат,15 до 49 година,Жене,25.2
2001,SH_STA_ANEM_NPRG,Проценат,15 до 49 година,Жене,24.8
2002,SH_STA_ANEM_NPRG,Проценат,15 до 49 година,Жене,24.6
2003,SH_STA_ANEM_NPRG,Проценат,15 до 49 година,Жене,24.4
2004,SH_STA_ANEM_NPRG,Проценат,15 до 49 година,Жене,24.4
2005,SH_STA_ANEM_NPRG,Проценат,15 до 49 година,Жене,24.3
2006,SH_STA_ANEM_NPRG,Проценат,15 до 49 година,Жене,24.2
2007,SH_STA_ANEM_NPRG,Проценат,15 до 49 година,Жене,24.1
2008,SH_STA_ANEM_NPRG,Проценат,15 до 49 година,Жене,24.0
2009,SH_STA_ANEM_NPRG,Проценат,15 до 49 година,Жене,23.9
2010,SH_STA_ANEM_NPRG,Проценат,15 до 49 година,Жене,23.8
2011,SH_STA_ANEM_NPRG,Проценат,15 до 49 година,Жене,23.8
2012,SH_STA_ANEM_NPRG,Проценат,15 до 49 година,Жене,23.7
2013,SH_STA_ANEM_NPRG,Проценат,15 до 49 година,Жене,23.7
2014,SH_STA_ANEM_NPRG,Проценат,15 до 49 година,Жене,23.7
2015,SH_STA_ANEM_NPRG,Проценат,15 до 49 година,Жене,23.7
2016,SH_STA_ANEM_NPRG,Проценат,15 до 49 година,Жене,23.8
2017,SH_STA_ANEM_NPRG,Проценат,15 до 49 година,Жене,23.8
2018,SH_STA_ANEM_NPRG,Проценат,15 до 49 година,Жене,24.0
2019,SH_STA_ANEM_NPRG,Проценат,15 до 49 година,Жене,24.3
2000,SH_STA_ANEM_PREG,Проценат,15 до 49 година,Жене,31.2
2001,SH_STA_ANEM_PREG,Проценат,15 до 49 година,Жене,30.7
2002,SH_STA_ANEM_PREG,Проценат,15 до 49 година,Жене,30.3
2003,SH_STA_ANEM_PREG,Проценат,15 до 49 година,Жене,29.9
2004,SH_STA_ANEM_PREG,Проценат,15 до 49 година,Жене,29.7
2005,SH_STA_ANEM_PREG,Проценат,15 до 49 година,Жене,29.4
2006,SH_STA_ANEM_PREG,Проценат,15 до 49 година,Жене,29.2
2007,SH_STA_ANEM_PREG,Проценат,15 до 49 година,Жене,28.9
2008,SH_STA_ANEM_PREG,Проценат,15 до 49 година,Жене,28.6
2009,SH_STA_ANEM_PREG,Проценат,15 до 49 година,Жене,28.3
2010,SH_STA_ANEM_PREG,Проценат,15 до 49 година,Жене,28.0
2011,SH_STA_ANEM_PREG,Проценат,15 до 49 година,Жене,27.8
2012,SH_STA_ANEM_PREG,Проценат,15 до 49 година,Жене,27.6
2013,SH_STA_ANEM_PREG,Проценат,15 до 49 година,Жене,27.5
2014,SH_STA_ANEM_PREG,Проценат,15 до 49 година,Жене,27.4
2015,SH_STA_ANEM_PREG,Проценат,15 до 49 година,Жене,27.3
2016,SH_STA_ANEM_PREG,Проценат,15 до 49 година,Жене,27.2
2017,SH_STA_ANEM_PREG,Проценат,15 до 49 година,Жене,27.2
2018,SH_STA_ANEM_PREG,Проценат,15 до 49 година,Жене,27.2
2019,SH_STA_ANEM_PREG,Проценат,15 до 49 година,Жене,27.2
