Year,SERIES,UNIT_MEASURE,Value
2016,Удио инфекције крвотока због Escherichia coli резистентне на цефалоспорин 3. генерације (нпр. ESBL-Е) међу пацијентима који траже помоћ и којима се узет узорак крви  и тестиран,PT,22.7
2017,Удио инфекције крвотока због Escherichia coli резистентне на цефалоспорин 3. генерације (нпр. ESBL-Е) међу пацијентима који траже помоћ и којима се узет узорак крви  и тестиран,PT,24.9
2018,Удио инфекције крвотока због Escherichia coli резистентне на цефалоспорин 3. генерације (нпр. ESBL-Е) међу пацијентима који траже помоћ и којима се узет узорак крви  и тестиран,PT,20.2
2019,Удио инфекције крвотока због Escherichia coli резистентне на цефалоспорин 3. генерације (нпр. ESBL-Е) међу пацијентима који траже помоћ и којима се узет узорак крви  и тестиран,PT,20.34
2020,Удио инфекције крвотока због Escherichia coli резистентне на цефалоспорин 3. генерације (нпр. ESBL-Е) међу пацијентима који траже помоћ и којима се узет узорак крви  и тестиран,PT,23.46
2021,Удио инфекције крвотока због Escherichia coli резистентне на цефалоспорин 3. генерације (нпр. ESBL-Е) међу пацијентима који траже помоћ и којима се узет узорак крви  и тестиран,PT,28.85
2016,Удио инфекције крвотока због Staphylococcus aureusa резистентног на метицилин (MRSA) међу пацијентима који траже помоћ и којима се узет узорак крви и тестиран,PT,18.0
2017,Удио инфекције крвотока због Staphylococcus aureusa резистентног на метицилин (MRSA) међу пацијентима који траже помоћ и којима се узет узорак крви и тестиран,PT,25.8
2018,Удио инфекције крвотока због Staphylococcus aureusa резистентног на метицилин (MRSA) међу пацијентима који траже помоћ и којима се узет узорак крви и тестиран,PT,16.3
2019,Удио инфекције крвотока због Staphylococcus aureusa резистентног на метицилин (MRSA) међу пацијентима који траже помоћ и којима се узет узорак крви и тестиран,PT,10.55
2020,Удио инфекције крвотока због Staphylococcus aureusa резистентног на метицилин (MRSA) међу пацијентима који траже помоћ и којима се узет узорак крви и тестиран,PT,23.21
2021,Удио инфекције крвотока због Staphylococcus aureusa резистентног на метицилин (MRSA) међу пацијентима који траже помоћ и којима се узет узорак крви и тестиран,PT,20.83
