Year,SERIES,UNIT_MEASURE,Value
2000,SM_POP_REFG_OR,Проценат,11865
2001,SM_POP_REFG_OR,Проценат,10643
2002,SM_POP_REFG_OR,Проценат,9757
2003,SM_POP_REFG_OR,Проценат,7385
2004,SM_POP_REFG_OR,Проценат,5730
2005,SM_POP_REFG_OR,Проценат,2837
2006,SM_POP_REFG_OR,Проценат,5042
2007,SM_POP_REFG_OR,Проценат,2038
2008,SM_POP_REFG_OR,Проценат,1942
2009,SM_POP_REFG_OR,Проценат,1839
2010,SM_POP_REFG_OR,Проценат,1672
2011,SM_POP_REFG_OR,Проценат,1575
2012,SM_POP_REFG_OR,Проценат,1417
2013,SM_POP_REFG_OR,Проценат,750
2014,SM_POP_REFG_OR,Проценат,625
2015,SM_POP_REFG_OR,Проценат,544
2016,SM_POP_REFG_OR,Проценат,534
2017,SM_POP_REFG_OR,Проценат,525
2018,SM_POP_REFG_OR,Проценат,508
2019,SM_POP_REFG_OR,Проценат,499
