Year,Value,UNIT_MEASURE,SERIES
2000,0.90047,Index,Indeks crvene liste
2001,0.90038,Index,Indeks crvene liste
2002,0.90028,Index,Indeks crvene liste
2003,0.90021,Index,Indeks crvene liste
2004,0.90024,Index,Indeks crvene liste
2005,0.90028,Index,Indeks crvene liste
2006,0.90028,Index,Indeks crvene liste
2007,0.90035,Index,Indeks crvene liste
2008,0.90039,Index,Indeks crvene liste
2009,0.90042,Index,Indeks crvene liste
2010,0.90045,Index,Indeks crvene liste
2011,0.90049,Index,Indeks crvene liste
2012,0.90053,Index,Indeks crvene liste
2013,0.90057,Index,Indeks crvene liste
2014,0.90062,Index,Indeks crvene liste
2015,0.90064,Index,Indeks crvene liste
2016,0.90067,Index,Indeks crvene liste
2017,0.9007,Index,Indeks crvene liste
2018,0.90074,Index,Indeks crvene liste
2019,0.9008,Index,Indeks crvene liste
2020,0.90081,Index,Indeks crvene liste
