Year,Value,UNIT_MEASURE,SERIES
2000,7.64,Megadžula po konstantni američkog dolara PPP BDP,Energetski intenzitet primarne energije
2001,7.07,Megadžula po konstantni američkog dolara PPP BDP,Energetski intenzitet primarne energije
2002,7.04,Megadžula po konstantni američkog dolara PPP BDP,Energetski intenzitet primarne energije
2003,6.76,Megadžula po konstantni američkog dolara PPP BDP,Energetski intenzitet primarne energije
2004,6.97,Megadžula po konstantni američkog dolara PPP BDP,Energetski intenzitet primarne energije
2005,6.71,Megadžula po konstantni američkog dolara PPP BDP,Energetski intenzitet primarne energije
2006,6.7,Megadžula po konstantni američkog dolara PPP BDP,Energetski intenzitet primarne energije
2007,6.33,Megadžula po konstantni američkog dolara PPP BDP,Energetski intenzitet primarne energije
2008,6.75,Megadžula po konstantni američkog dolara PPP BDP,Energetski intenzitet primarne energije
2009,7.26,Megadžula po konstantni američkog dolara PPP BDP,Energetski intenzitet primarne energije
2010,7.5,Megadžula po konstantni američkog dolara PPP BDP,Energetski intenzitet primarne energije
2011,8.19,Megadžula po konstantni američkog dolara PPP BDP,Energetski intenzitet primarne energije
2012,7.73,Megadžula po konstantni američkog dolara PPP BDP,Energetski intenzitet primarne energije
2013,7.29,Megadžula po konstantni američkog dolara PPP BDP,Energetski intenzitet primarne energije
2014,6.7,Megadžula po konstantni američkog dolara PPP BDP,Energetski intenzitet primarne energije
2015,6.69,Megadžula po konstantni američkog dolara PPP BDP,Energetski intenzitet primarne energije
2016,7.09,Megadžula po konstantni američkog dolara PPP BDP,Energetski intenzitet primarne energije
2017,6.88,Megadžula po konstantni američkog dolara PPP BDP,Energetski intenzitet primarne energije
