Year,Value,UNIT_MEASURE,SERIES
2000,19.58084,Američki dolar,"Ukupna zvanična razvojna pomoć (bruto izdaci) za vodosnabdijevanje i kanalizaciju, prema zemljama primaocima"
2001,38.82584,Američki dolar,"Ukupna zvanična razvojna pomoć (bruto izdaci) za vodosnabdijevanje i kanalizaciju, prema zemljama primaocima"
2002,9.64236,Američki dolar,"Ukupna zvanična razvojna pomoć (bruto izdaci) za vodosnabdijevanje i kanalizaciju, prema zemljama primaocima"
2003,13.74311,Američki dolar,"Ukupna zvanična razvojna pomoć (bruto izdaci) za vodosnabdijevanje i kanalizaciju, prema zemljama primaocima"
2004,42.03058,Američki dolar,"Ukupna zvanična razvojna pomoć (bruto izdaci) za vodosnabdijevanje i kanalizaciju, prema zemljama primaocima"
2005,20.24693,Američki dolar,"Ukupna zvanična razvojna pomoć (bruto izdaci) za vodosnabdijevanje i kanalizaciju, prema zemljama primaocima"
2006,15.9279,Američki dolar,"Ukupna zvanična razvojna pomoć (bruto izdaci) za vodosnabdijevanje i kanalizaciju, prema zemljama primaocima"
2007,16.63345,Američki dolar,"Ukupna zvanična razvojna pomoć (bruto izdaci) za vodosnabdijevanje i kanalizaciju, prema zemljama primaocima"
2008,14.33219,Američki dolar,"Ukupna zvanična razvojna pomoć (bruto izdaci) za vodosnabdijevanje i kanalizaciju, prema zemljama primaocima"
2009,17.65463,Američki dolar,"Ukupna zvanična razvojna pomoć (bruto izdaci) za vodosnabdijevanje i kanalizaciju, prema zemljama primaocima"
2010,28.46099,Američki dolar,"Ukupna zvanična razvojna pomoć (bruto izdaci) za vodosnabdijevanje i kanalizaciju, prema zemljama primaocima"
2011,43.36911,Američki dolar,"Ukupna zvanična razvojna pomoć (bruto izdaci) za vodosnabdijevanje i kanalizaciju, prema zemljama primaocima"
2012,43.07214,Američki dolar,"Ukupna zvanična razvojna pomoć (bruto izdaci) za vodosnabdijevanje i kanalizaciju, prema zemljama primaocima"
2013,37.56426,Američki dolar,"Ukupna zvanična razvojna pomoć (bruto izdaci) za vodosnabdijevanje i kanalizaciju, prema zemljama primaocima"
2014,43.50735,Američki dolar,"Ukupna zvanična razvojna pomoć (bruto izdaci) za vodosnabdijevanje i kanalizaciju, prema zemljama primaocima"
2015,69.22512,Američki dolar,"Ukupna zvanična razvojna pomoć (bruto izdaci) za vodosnabdijevanje i kanalizaciju, prema zemljama primaocima"
2016,69.22512,Američki dolar,"Ukupna zvanična razvojna pomoć (bruto izdaci) za vodosnabdijevanje i kanalizaciju, prema zemljama primaocima"
2017,49.60147,Američki dolar,"Ukupna zvanična razvojna pomoć (bruto izdaci) za vodosnabdijevanje i kanalizaciju, prema zemljama primaocima"
2018,16.60477,Američki dolar,"Ukupna zvanična razvojna pomoć (bruto izdaci) za vodosnabdijevanje i kanalizaciju, prema zemljama primaocima"
