Year,SERIES,UNIT_MEASURE,Value
2000,NV_IND_MANF,PT,8.81
2001,NV_IND_MANF,PT,8.84
2002,NV_IND_MANF,PT,9.05
2003,NV_IND_MANF,PT,8.98
2004,NV_IND_MANF,PT,8.85
2005,NV_IND_MANF,PT,9.11
2006,NV_IND_MANF,PT,9.88
2007,NV_IND_MANF,PT,10.32
2008,NV_IND_MANF,PT,10.42
2009,NV_IND_MANF,PT,10.15
2010,NV_IND_MANF,PT,10.79
2011,NV_IND_MANF,PT,10.69
2012,NV_IND_MANF,PT,10.69
2013,NV_IND_MANF,PT,10.97
2014,NV_IND_MANF,PT,11.31
2015,NV_IND_MANF,PT,11.67
2016,NV_IND_MANF,PT,11.93
2017,NV_IND_MANF,PT,12.28
2018,NV_IND_MANF,PT,12.43
2019,NV_IND_MANF,PT,12.58
2000,NV_IND_MANFPC,CON_USD,250
2001,NV_IND_MANFPC,CON_USD,257.3
2002,NV_IND_MANFPC,CON_USD,276.5
2003,NV_IND_MANFPC,CON_USD,284.9
2004,NV_IND_MANFPC,CON_USD,298.4
2005,NV_IND_MANFPC,CON_USD,318.8
2006,NV_IND_MANFPC,CON_USD,364.4
2007,NV_IND_MANFPC,CON_USD,403.4
2008,NV_IND_MANFPC,CON_USD,430.3
2009,NV_IND_MANFPC,CON_USD,430.3
2010,NV_IND_MANFPC,CON_USD,441.9
2011,NV_IND_MANFPC,CON_USD,447
2012,NV_IND_MANFPC,CON_USD,450.4
2013,NV_IND_MANFPC,CON_USD,481.3
2014,NV_IND_MANFPC,CON_USD,510.6
2015,NV_IND_MANFPC,CON_USD,551.7
2016,NV_IND_MANFPC,CON_USD,588.8
2017,NV_IND_MANFPC,CON_USD,631.4
2018,NV_IND_MANFPC,CON_USD,667.4
2019,NV_IND_MANFPC,CON_USD,699.2
