Year,SERIES,UNIT_MEASURE,SEX,AGE,Value
2006,SL_TLF_NEET,PT,_T,Y15T24,34.7
2007,SL_TLF_NEET,PT,_T,Y15T24,31.3
2008,SL_TLF_NEET,PT,_T,Y15T24,26.4
2009,SL_TLF_NEET,PT,_T,Y15T24,25.5
2010,SL_TLF_NEET,PT,_T,Y15T24,28.3
2011,SL_TLF_NEET,PT,_T,Y15T24,27.8
2012,SL_TLF_NEET,PT,_T,Y15T24,28.5
2013,SL_TLF_NEET,PT,_T,Y15T24,26.0
2014,SL_TLF_NEET,PT,_T,Y15T24,26.3
2015,SL_TLF_NEET,PT,_T,Y15T24,28.1
2016,SL_TLF_NEET,PT,_T,Y15T24,27.0
2017,SL_TLF_NEET,PT,_T,Y15T24,24.5
2018,SL_TLF_NEET,PT,_T,Y15T24,22.1
2019,SL_TLF_NEET,PT,_T,Y15T24,21.2
2006,SL_TLF_NEET,PT,F,Y15T25,35.3
2007,SL_TLF_NEET,PT,F,Y15T25,31.5
2008,SL_TLF_NEET,PT,F,Y15T25,27.9
2009,SL_TLF_NEET,PT,F,Y15T25,25.8
2010,SL_TLF_NEET,PT,F,Y15T25,28.2
2011,SL_TLF_NEET,PT,F,Y15T25,26.4
2012,SL_TLF_NEET,PT,F,Y15T25,26.4
2013,SL_TLF_NEET,PT,F,Y15T25,26.4
2014,SL_TLF_NEET,PT,F,Y15T25,26.4
2015,SL_TLF_NEET,PT,F,Y15T25,26.4
2016,SL_TLF_NEET,PT,F,Y15T25,25.2
2017,SL_TLF_NEET,PT,F,Y15T25,24.3
2018,SL_TLF_NEET,PT,F,Y15T25,21.7
2019,SL_TLF_NEET,PT,F,Y15T25,21.7
2006,SL_TLF_NEET,PT,M,Y15T26,34.0
2007,SL_TLF_NEET,PT,M,Y15T26,31.1
2008,SL_TLF_NEET,PT,M,Y15T26,25.0
2009,SL_TLF_NEET,PT,M,Y15T26,25.3
2010,SL_TLF_NEET,PT,M,Y15T26,28.4
2011,SL_TLF_NEET,PT,M,Y15T26,29.0
2012,SL_TLF_NEET,PT,M,Y15T26,30.6
2013,SL_TLF_NEET,PT,M,Y15T26,27.6
2014,SL_TLF_NEET,PT,M,Y15T26,27.9
2015,SL_TLF_NEET,PT,M,Y15T26,29.7
2016,SL_TLF_NEET,PT,M,Y15T26,28.5
2017,SL_TLF_NEET,PT,M,Y15T26,24.7
2018,SL_TLF_NEET,PT,M,Y15T26,22.6
2019,SL_TLF_NEET,PT,M,Y15T26,20.8
