Year,UNIT_MEASURE,Type,Value
January,CUR_NAC,average monthly gross earning 2020,1460
February,CUR_NAC,average monthly gross earning 2020,1452
March,CUR_NAC,average monthly gross earning 2020,1466
April,CUR_NAC,average monthly gross earning 2020,1454
May,CUR_NAC,average monthly gross earning 2020,1450
June,CUR_NAC,average monthly gross earning 2020,1475
July,CUR_NAC,average monthly gross earning 2020,1492
August,CUR_NAC,average monthly gross earning 2020,1472
January,CUR_NAC,average monthly paid off net earning 2020,945
February,CUR_NAC,average monthly paid off net earning 2020,941
March,CUR_NAC,average monthly paid off net earning 2020,950
April,CUR_NAC,average monthly paid off net earning 2020,942
May,CUR_NAC,average monthly paid off net earning 2020,940
June,CUR_NAC,average monthly paid off net earning 2020,955
July,CUR_NAC,average monthly paid off net earning 2020,965
August,CUR_NAC,average monthly paid off net earning 2020,953
