Year,SERIES,UNIT_MEASURE,ACTIVITY,Value
2010,EN_ATM_CO2,TONNES_M,ISIC4_C10T32X19,1.6
2011,EN_ATM_CO2,TONNES_M,ISIC4_C10T32X19,1.78
2012,EN_ATM_CO2,TONNES_M,ISIC4_C10T32X19,1.8
2013,EN_ATM_CO2,TONNES_M,ISIC4_C10T32X19,2.11
2014,EN_ATM_CO2,TONNES_M,ISIC4_C10T32X19,1.91
2015,EN_ATM_CO2,TONNES_M,ISIC4_C10T32X19,2
2016,EN_ATM_CO2,TONNES_M,ISIC4_C10T32X19,1.9
2017,EN_ATM_CO2,TONNES_M,ISIC4_C10T32X19,2.0
2018,EN_ATM_CO2,TONNES_M,ISIC4_C10T32X19,2.23
2019,EN_ATM_CO2,TONNES_M,ISIC4_C10T32X19,2.18
2020,EN_ATM_CO2,TONNES_M,ISIC4_C10T32X19,1.29
2021,EN_ATM_CO2,TONNES_M,ISIC4_C10T32X19,1.53
2010,EN_ATM_CO2,TONNES_M,_T,20.48
2011,EN_ATM_CO2,TONNES_M,_T,23.4
2012,EN_ATM_CO2,TONNES_M,_T,21.65
2013,EN_ATM_CO2,TONNES_M,_T,21.51
2014,EN_ATM_CO2,TONNES_M,_T,19.19
2015,EN_ATM_CO2,TONNES_M,_T,19.32
2016,EN_ATM_CO2,TONNES_M,_T,22.04
2017,EN_ATM_CO2,TONNES_M,_T,22.35
2018,EN_ATM_CO2,TONNES_M,_T,22.24
2019,EN_ATM_CO2,TONNES_M,_T,20.76
2020,EN_ATM_CO2,TONNES_M,_T,20.52
2021,EN_ATM_CO2,TONNES_M,_T,20.70
2022,EN_ATM_CO2,TONNES_M,_T,20.60
2009,EN_ATM_CO2MVA,KG_PER_CON_USD,ISIC4_C,0.89
2010,EN_ATM_CO2MVA,KG_PER_CON_USD,ISIC4_C,0.977
2011,EN_ATM_CO2MVA,KG_PER_CON_USD,ISIC4_C,1.087
2014,EN_ATM_CO2MVA,KG_PER_CON_USD,ISIC4_C,1.074
2015,EN_ATM_CO2MVA,KG_PER_CON_USD,ISIC4_C,1.097
2016,EN_ATM_CO2MVA,KG_PER_CON_USD,ISIC4_C,0.987
2017,EN_ATM_CO2MVA,KG_PER_CON_USD,ISIC4_C,0.959
2018,EN_ATM_CO2MVA,KG_PER_CON_USD,ISIC4_C,1.051
2019,EN_ATM_CO2MVA,KG_PER_CON_USD,ISIC4_C,1.027
2020,EN_ATM_CO2MVA,KG_PER_CON_USD,ISIC4_C,0.636
2021,EN_ATM_CO2MVA,KG_PER_CON_USD,ISIC4_C,0.66
2009,EN_ATM_CO2GDP,KG_PER_CON_USD,,0.499
2010,EN_ATM_CO2GDP,KG_PER_CON_USD,,0.502
2011,EN_ATM_CO2GDP,KG_PER_CON_USD,,0.569
2014,EN_ATM_CO2GDP,KG_PER_CON_USD,,0.454
2015,EN_ATM_CO2GDP,KG_PER_CON_USD,,0.438
2016,EN_ATM_CO2GDP,KG_PER_CON_USD,,0.484
2017,EN_ATM_CO2GDP,KG_PER_CON_USD,,0.475
2018,EN_ATM_CO2GDP,KG_PER_CON_USD,,0.455
2019,EN_ATM_CO2GDP,KG_PER_CON_USD,,0.413
2020,EN_ATM_CO2GDP,KG_PER_CON_USD,,0.421
2021,EN_ATM_CO2GDP,KG_PER_CON_USD,,0.396
