Year,SERIES,UNIT_MEASURE,Value
2000,NV_IND_TECH,Postotak,29.17
2001,NV_IND_TECH,Postotak,16.14
2002,NV_IND_TECH,Postotak,16.14
2003,NV_IND_TECH,Postotak,16.14
2004,NV_IND_TECH,Postotak,16.14
2005,NV_IND_TECH,Postotak,16.14
2006,NV_IND_TECH,Postotak,16.14
2007,NV_IND_TECH,Postotak,16.14
2008,NV_IND_TECH,Postotak,16.14
2009,NV_IND_TECH,Postotak,16.14
2010,NV_IND_TECH,Postotak,16.14
2011,NV_IND_TECH,Postotak,17.17
2012,NV_IND_TECH,Postotak,19.26
2013,NV_IND_TECH,Postotak,17.69
2014,NV_IND_TECH,Postotak,17.92
2015,NV_IND_TECH,Postotak,18.47
2016,NV_IND_TECH,Postotak,17.41
2017,NV_IND_TECH,Postotak,17.29
2018,NV_IND_TECH,Postotak,18.06
2019,NV_IND_TECH,Postotak,17.99
