Year,SERIES,UNIT_MEASURE,Spol,Value
2009,SI_COV_PENSN,Postotak,Oba spola ili bez podjele po spolu,29.6
2020,SI_COV_PENSN,Postotak,Oba spola ili bez podjele po spolu,69.5
2020,SI_COV_PENSN,Postotak,Žene,41.3
2020,SI_COV_PENSN,Postotak,Muškarci,100.0
2001,SI_COV_UEMP,Postotak,Oba spola ili bez podjele po spolu,1.2
2005,SI_COV_UEMP,Postotak,Oba spola ili bez podjele po spolu,1.6
2007,SI_COV_UEMP,Postotak,Oba spola ili bez podjele po spolu,1.6
2009,SI_COV_UEMP,Postotak,Oba spola ili bez podjele po spolu,2.4
2010,SI_COV_UEMP,Postotak,Oba spola ili bez podjele po spolu,2.6
2011,SI_COV_UEMP,Postotak,Oba spola ili bez podjele po spolu,2.0
2020,SI_COV_UEMP,Postotak,Oba spola ili bez podjele po spolu,5.3
2007,SI_COV_LMKT,Postotak,,2.03118
2007,SI_COV_SOCAST,Postotak,,20.50947
2015,SI_COV_SOCAST,Postotak,,17.4175
2007,SI_COV_SOCINS,Postotak,,41.52379
2015,SI_COV_SOCINS,Postotak,,40.16296
2020,SI_COV_DISAB,Postotak,Oba spola ili bez podjele po spolu,100.0
2020,SI_COV_DISAB,Postotak,Žene,100.0
2020,SI_COV_DISAB,Postotak,Muškarci,100.0
2020,SI_COV_BENFTS,Postotak,Oba spola ili bez podjele po spolu,40.0
2020,SI_COV_MATNL,Postotak,Oba spola ili bez podjele po spolu,100.0
