Year,SERIES,UNIT_MEASURE,Spol,Vrsta vještina,Godine,Stupanj urbanizacije,Value
2017,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Oba spola ili bez podjele po spolu,Korištenje osnovnih aritmetičkih formula u proračunskoj tablici,15 do 24 godine,Sva područja,25.3
2019,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Oba spola ili bez podjele po spolu,Korištenje osnovnih aritmetičkih formula u proračunskoj tablici,15 do 24 godine,Sva područja,15.7
2017,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Žene,Korištenje osnovnih aritmetičkih formula u proračunskoj tablici,15 do 24 godine,Sva područja,28.3
2019,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Žene,Korištenje osnovnih aritmetičkih formula u proračunskoj tablici,15 do 24 godine,Sva područja,19.2
2017,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Muškarci,Korištenje osnovnih aritmetičkih formula u proračunskoj tablici,15 do 24 godine,Sva područja,22.8
2019,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Muškarci,Korištenje osnovnih aritmetičkih formula u proračunskoj tablici,15 do 24 godine,Sva područja,14.4
2017,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Oba spola ili bez podjele po spolu,Korištenje alata za kopiranje i lijepljenje za dupliciranje ili premještanje informacija unutar dokumenta,15 do 24 godine,Sva područja,60.9
2019,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Oba spola ili bez podjele po spolu,Korištenje alata za kopiranje i lijepljenje za dupliciranje ili premještanje informacija unutar dokumenta,15 do 24 godine,Sva područja,58.7
2021,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Oba spola ili bez podjele po spolu,Korištenje alata za kopiranje i lijepljenje za dupliciranje ili premještanje informacija unutar dokumenta,15 do 24 godine,Sva područja,75.1
2023,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Oba spola ili bez podjele po spolu,Korištenje alata za kopiranje i lijepljenje za dupliciranje ili premještanje informacija unutar dokumenta,15 do 24 godine,Sva područja,88.5
