Year,Naziv prihoda,Value
a)2019 - 2020 Siječanj,Porez na dodanu vrijednost,102.68
b)2019 - 2020 Veljača,Porez na dodanu vrijednost,108.04
c)2019 - 2020 Ožujak,Porez na dodanu vrijednost,99.23
d)2019 - 2020 Travanj,Porez na dodanu vrijednost,76.73
e)2019 - 2020 Svibanj,Porez na dodanu vrijednost,69.59
f)2019 - 2020 Lipanj,Porez na dodanu vrijednost,93.0
g)2019 - 2020 Srpanj,Porez na dodanu vrijednost,98.56
h)2019 - 2020 Kolovoz,Porez na dodanu vrijednost,84.9
a)2019 - 2020 Siječanj,"Carinske dažbine, pristojbe za carinsku registraciju i posebne dažbine",102.24
b)2019 - 2020 Veljača,"Carinske dažbine, pristojbe za carinsku registraciju i posebne dažbine",109.0
c)2019 - 2020 Ožujak,"Carinske dažbine, pristojbe za carinsku registraciju i posebne dažbine",90.08
d)2019 - 2020 Travanj,"Carinske dažbine, pristojbe za carinsku registraciju i posebne dažbine",56.7
e)2019 - 2020 Svibanj,"Carinske dažbine, pristojbe za carinsku registraciju i posebne dažbine",63.74
f)2019 - 2020 Lipanj,"Carinske dažbine, pristojbe za carinsku registraciju i posebne dažbine",89.74
g)2019 - 2020 Srpanj,"Carinske dažbine, pristojbe za carinsku registraciju i posebne dažbine",92.66
h)2019 - 2020 Kolovoz,"Carinske dažbine, pristojbe za carinsku registraciju i posebne dažbine",82.75
a)2019 - 2020 Siječanj,Trošarina na uvozne proizvode,96.36
b)2019 - 2020 Veljača,Trošarina na uvozne proizvode,124.3
c)2019 - 2020 Ožujak,Trošarina na uvozne proizvode,130.95
d)2019 - 2020 Travanj,Trošarina na uvozne proizvode,101.58
e)2019 - 2020 Svibanj,Trošarina na uvozne proizvode,52.06
f)2019 - 2020 Lipanj,Trošarina na uvozne proizvode,96.95
g)2019 - 2020 Srpanj,Trošarina na uvozne proizvode,76.47
h)2019 - 2020 Kolovoz,Trošarina na uvozne proizvode,75.01
