Year,SERIES,UNIT_MEASURE,Godine,Spol,Stupanj urbanizacije,Value
2015,Rasprostranjenost umjerene ili ozbiljne nesigurnosti hrane u populaciji (%),Postotak,15 godina i više,Žene,Sva područja,9.8
2016,Rasprostranjenost umjerene ili ozbiljne nesigurnosti hrane u populaciji (%),Postotak,15 godina i više,Žene,Sva područja,9.3
2017,Rasprostranjenost umjerene ili ozbiljne nesigurnosti hrane u populaciji (%),Postotak,15 godina i više,Žene,Sva područja,8.0
2018,Rasprostranjenost umjerene ili ozbiljne nesigurnosti hrane u populaciji (%),Postotak,15 godina i više,Žene,Sva područja,8.4
2019,Rasprostranjenost umjerene ili ozbiljne nesigurnosti hrane u populaciji (%),Postotak,15 godina i više,Žene,Sva područja,10.4
2020,Rasprostranjenost umjerene ili ozbiljne nesigurnosti hrane u populaciji (%),Postotak,15 godina i više,Žene,Sva područja,13.9
2021,Rasprostranjenost umjerene ili ozbiljne nesigurnosti hrane u populaciji (%),Postotak,15 godina i više,Žene,Sva područja,15.5
2022,Rasprostranjenost umjerene ili ozbiljne nesigurnosti hrane u populaciji (%),Postotak,15 godina i više,Žene,Sva područja,15.6
2023,Rasprostranjenost umjerene ili ozbiljne nesigurnosti hrane u populaciji (%),Postotak,15 godina i više,Žene,Sva područja,11.7
2015,Rasprostranjenost umjerene ili ozbiljne nesigurnosti hrane u populaciji (%),Postotak,15 godina i više,Muškarci,Sva područja,9.4
2016,Rasprostranjenost umjerene ili ozbiljne nesigurnosti hrane u populaciji (%),Postotak,15 godina i više,Muškarci,Sva područja,11.2
2017,Rasprostranjenost umjerene ili ozbiljne nesigurnosti hrane u populaciji (%),Postotak,15 godina i više,Muškarci,Sva područja,9.4
2018,Rasprostranjenost umjerene ili ozbiljne nesigurnosti hrane u populaciji (%),Postotak,15 godina i više,Muškarci,Sva područja,9.9
2019,Rasprostranjenost umjerene ili ozbiljne nesigurnosti hrane u populaciji (%),Postotak,15 godina i više,Muškarci,Sva područja,9.7
2020,Rasprostranjenost umjerene ili ozbiljne nesigurnosti hrane u populaciji (%),Postotak,15 godina i više,Muškarci,Sva područja,11.2
2021,Rasprostranjenost umjerene ili ozbiljne nesigurnosti hrane u populaciji (%),Postotak,15 godina i više,Muškarci,Sva područja,11.3
2022,Rasprostranjenost umjerene ili ozbiljne nesigurnosti hrane u populaciji (%),Postotak,15 godina i više,Muškarci,Sva područja,10.9
2023,Rasprostranjenost umjerene ili ozbiljne nesigurnosti hrane u populaciji (%),Postotak,15 godina i više,Muškarci,Sva područja,8.1
2015,Rasprostranjenost umjerene ili ozbiljne nesigurnosti hrane u populaciji (%),Postotak,Svi dobni rasponi ili nema podjele po godinama,Oba spola ili bez podjele po spolu,Sva područja,9.6
2016,Rasprostranjenost umjerene ili ozbiljne nesigurnosti hrane u populaciji (%),Postotak,Svi dobni rasponi ili nema podjele po godinama,Oba spola ili bez podjele po spolu,Sva područja,10.3
2017,Rasprostranjenost umjerene ili ozbiljne nesigurnosti hrane u populaciji (%),Postotak,Svi dobni rasponi ili nema podjele po godinama,Oba spola ili bez podjele po spolu,Sva područja,8.7
2018,Rasprostranjenost umjerene ili ozbiljne nesigurnosti hrane u populaciji (%),Postotak,Svi dobni rasponi ili nema podjele po godinama,Oba spola ili bez podjele po spolu,Sva područja,9.2
2019,Rasprostranjenost umjerene ili ozbiljne nesigurnosti hrane u populaciji (%),Postotak,Svi dobni rasponi ili nema podjele po godinama,Oba spola ili bez podjele po spolu,Sva područja,10.0
2020,Rasprostranjenost umjerene ili ozbiljne nesigurnosti hrane u populaciji (%),Postotak,Svi dobni rasponi ili nema podjele po godinama,Oba spola ili bez podjele po spolu,Sva područja,12.6
2021,Rasprostranjenost umjerene ili ozbiljne nesigurnosti hrane u populaciji (%),Postotak,Svi dobni rasponi ili nema podjele po godinama,Oba spola ili bez podjele po spolu,Sva područja,13.4
2022,Rasprostranjenost umjerene ili ozbiljne nesigurnosti hrane u populaciji (%),Postotak,Svi dobni rasponi ili nema podjele po godinama,Oba spola ili bez podjele po spolu,Sva područja,13.3
2023,Rasprostranjenost umjerene ili ozbiljne nesigurnosti hrane u populaciji (%),Postotak,Svi dobni rasponi ili nema podjele po godinama,Oba spola ili bez podjele po spolu,Sva područja,9.9
2015,Rasprostranjenost ozbiljne nesigurnosti hranom u populaciji (%),Postotak,15 godina i više,Žene,Sva područja,1.4
2016,Rasprostranjenost ozbiljne nesigurnosti hranom u populaciji (%),Postotak,15 godina i više,Žene,Sva područja,1.4
2017,Rasprostranjenost ozbiljne nesigurnosti hranom u populaciji (%),Postotak,15 godina i više,Žene,Sva područja,1.0
2018,Rasprostranjenost ozbiljne nesigurnosti hranom u populaciji (%),Postotak,15 godina i više,Žene,Sva područja,1.3
2019,Rasprostranjenost ozbiljne nesigurnosti hranom u populaciji (%),Postotak,15 godina i više,Žene,Sva područja,1.9
