Year,SERIES,UNIT_MEASURE,Vrsta proizvoda,Value
2005,TM_TAX_WMFN,Postotak,Poljoprivredni proizvodi,15.79
2010,TM_TAX_WMFN,Postotak,Poljoprivredni proizvodi,16.3
2015,TM_TAX_WMFN,Postotak,Poljoprivredni proizvodi,15.82
2016,TM_TAX_WMFN,Postotak,Poljoprivredni proizvodi,14.04
2017,TM_TAX_WMFN,Postotak,Poljoprivredni proizvodi,15.0
2018,TM_TAX_WMFN,Postotak,Poljoprivredni proizvodi,15.11
2005,TM_TAX_WMFN,Postotak,Bez podjele,7.91
2010,TM_TAX_WMFN,Postotak,Bez podjele,7.54
2015,TM_TAX_WMFN,Postotak,Bez podjele,7.89
2016,TM_TAX_WMFN,Postotak,Bez podjele,7.48
2017,TM_TAX_WMFN,Postotak,Bez podjele,7.75
2018,TM_TAX_WMFN,Postotak,Bez podjele,8.01
2005,TM_TAX_WMFN,Postotak,Oružje,14.28
2005,TM_TAX_WMFN,Postotak,Odjeća,15.0
2010,TM_TAX_WMFN,Postotak,Odjeća,15.0
2015,TM_TAX_WMFN,Postotak,Odjeća,15.0
2016,TM_TAX_WMFN,Postotak,Odjeća,15.0
2017,TM_TAX_WMFN,Postotak,Odjeća,15.0
2018,TM_TAX_WMFN,Postotak,Odjeća,15.0
2005,TM_TAX_WMFN,Postotak,Industrijski proizvodi,6.06
2010,TM_TAX_WMFN,Postotak,Industrijski proizvodi,5.61
2015,TM_TAX_WMFN,Postotak,Industrijski proizvodi,5.96
2016,TM_TAX_WMFN,Postotak,Industrijski proizvodi,5.69
2017,TM_TAX_WMFN,Postotak,Industrijski proizvodi,6.03
2018,TM_TAX_WMFN,Postotak,Industrijski proizvodi,6.03
2005,TM_TAX_WMFN,Postotak,Nafta ili ulje,0.0
2010,TM_TAX_WMFN,Postotak,Nafta ili ulje,0.0
2015,TM_TAX_WMFN,Postotak,Nafta ili ulje,0.0
2016,TM_TAX_WMFN,Postotak,Nafta ili ulje,0.0
2017,TM_TAX_WMFN,Postotak,Nafta ili ulje,0.0
2018,TM_TAX_WMFN,Postotak,Nafta ili ulje,0.0
2005,TM_TAX_WMFN,Postotak,Tekstil,10.2
2010,TM_TAX_WMFN,Postotak,Tekstil,9.5
2015,TM_TAX_WMFN,Postotak,Tekstil,9.23
2016,TM_TAX_WMFN,Postotak,Tekstil,10.29
2017,TM_TAX_WMFN,Postotak,Tekstil,9.25
2018,TM_TAX_WMFN,Postotak,Tekstil,9.25
2005,TM_TAX_WMPS,Postotak,Poljoprivredni proizvodi,6.08
2010,TM_TAX_WMPS,Postotak,Poljoprivredni proizvodi,3.48
2015,TM_TAX_WMPS,Postotak,Poljoprivredni proizvodi,2.18
2016,TM_TAX_WMPS,Postotak,Poljoprivredni proizvodi,1.43
2017,TM_TAX_WMPS,Postotak,Poljoprivredni proizvodi,2.32
2018,TM_TAX_WMPS,Postotak,Poljoprivredni proizvodi,2.41
2005,TM_TAX_WMPS,Postotak,Bez podjele,2.33
2010,TM_TAX_WMPS,Postotak,Bez podjele,1.78
2015,TM_TAX_WMPS,Postotak,Bez podjele,1.32
2016,TM_TAX_WMPS,Postotak,Bez podjele,2.68
2017,TM_TAX_WMPS,Postotak,Bez podjele,1.32
2018,TM_TAX_WMPS,Postotak,Bez podjele,1.38
2005,TM_TAX_WMPS,Postotak,Oružje,4.95
2005,TM_TAX_WMPS,Postotak,Odjeća,6.74
2010,TM_TAX_WMPS,Postotak,Odjeća,7.94
2015,TM_TAX_WMPS,Postotak,Odjeća,6.92
2016,TM_TAX_WMPS,Postotak,Odjeća,8.08
2017,TM_TAX_WMPS,Postotak,Odjeća,7.03
2018,TM_TAX_WMPS,Postotak,Odjeća,7.03
2005,TM_TAX_WMPS,Postotak,Industrijski proizvodi,1.45
2010,TM_TAX_WMPS,Postotak,Industrijski proizvodi,1.29
2015,TM_TAX_WMPS,Postotak,Industrijski proizvodi,0.98
2016,TM_TAX_WMPS,Postotak,Industrijski proizvodi,3.0
2017,TM_TAX_WMPS,Postotak,Industrijski proizvodi,0.94
2018,TM_TAX_WMPS,Postotak,Industrijski proizvodi,0.94
2005,TM_TAX_WMPS,Postotak,Nafta ili ulje,0.0
2010,TM_TAX_WMPS,Postotak,Nafta ili ulje,0.0
2015,TM_TAX_WMPS,Postotak,Nafta ili ulje,0.0
2016,TM_TAX_WMPS,Postotak,Nafta ili ulje,0.0
2017,TM_TAX_WMPS,Postotak,Nafta ili ulje,0.0
2018,TM_TAX_WMPS,Postotak,Nafta ili ulje,0.0
2005,TM_TAX_WMPS,Postotak,Tekstil,2.46
2010,TM_TAX_WMPS,Postotak,Tekstil,2.58
2015,TM_TAX_WMPS,Postotak,Tekstil,1.73
2016,TM_TAX_WMPS,Postotak,Tekstil,5.25
2017,TM_TAX_WMPS,Postotak,Tekstil,1.78
2018,TM_TAX_WMPS,Postotak,Tekstil,1.78
