Year,UNIT_MEASURE,Tip,Value
a)Siječanj,u KM,Prosječna mjesečna bruto plaća 2020,1460
b)Veljača,u KM,Prosječna mjesečna bruto plaća 2020,1452
c)Ožujak,u KM,Prosječna mjesečna bruto plaća 2020,1466
d)Travanj,u KM,Prosječna mjesečna bruto plaća 2020,1454
e)Svibanj,u KM,Prosječna mjesečna bruto plaća 2020,1450
f)Lipanj,u KM,Prosječna mjesečna bruto plaća 2020,1475
g)Srpanj,u KM,Prosječna mjesečna bruto plaća 2020,1492
h)Kolovoz,u KM,Prosječna mjesečna bruto plaća 2020,1472
i)Rujan,u KM,Prosječna mjesečna bruto plaća 2020,1485
j)Listopad,u KM,Prosječna mjesečna bruto plaća 2020,1485
k)Studeni,u KM,Prosječna mjesečna bruto plaća 2020,1493
a)Siječanj,u KM,Prosječna mjesečna isplaćena neto plaća 2020,945
b)Veljača,u KM,Prosječna mjesečna isplaćena neto plaća 2020,941
c)Ožujak,u KM,Prosječna mjesečna isplaćena neto plaća 2020,950
d)Travanj,u KM,Prosječna mjesečna isplaćena neto plaća 2020,942
e)Svibanj,u KM,Prosječna mjesečna isplaćena neto plaća 2020,940
f)Lipanj,u KM,Prosječna mjesečna isplaćena neto plaća 2020,955
g)Srpanj,u KM,Prosječna mjesečna isplaćena neto plaća 2020,965
h)Kolovoz,u KM,Prosječna mjesečna isplaćena neto plaća 2020,953
i)Rujan,u KM,Prosječna mjesečna isplaćena neto plaća 2020,962
j)Listopad,u KM,Prosječna mjesečna isplaćena neto plaća 2020,961
k)Studeni,u KM,Prosječna mjesečna isplaćena neto plaća 2020,966
