Year,SERIES,UNIT_MEASURE,Spol,Value
2014,Udio žena na rukovodećim pozicijama - 13. ICLS (%),Postotak,Žene,24.15
2015,Udio žena na rukovodećim pozicijama - 13. ICLS (%),Postotak,Žene,22.0
2016,Udio žena na rukovodećim pozicijama - 13. ICLS (%),Postotak,Žene,21.59
2017,Udio žena na rukovodećim pozicijama - 13. ICLS (%),Postotak,Žene,20.29
2018,Udio žena na rukovodećim pozicijama - 13. ICLS (%),Postotak,Žene,25.92
2019,Udio žena na rukovodećim pozicijama - 13. ICLS (%),Postotak,Žene,24.32
2020,Udio žena na rukovodećim pozicijama - 13. ICLS (%),Postotak,Žene,25.12
2021,Udio žena na rukovodećim pozicijama - 13. ICLS (%),Postotak,Žene,24.2
2014,Udio žena na višim i srednjim rukovodećim pozicijama - 13. ICLS,Postotak,Žene,24.2
2015,Udio žena na višim i srednjim rukovodećim pozicijama - 13. ICLS,Postotak,Žene,24.2
2016,Udio žena na višim i srednjim rukovodećim pozicijama - 13. ICLS,Postotak,Žene,18.8
2017,Udio žena na višim i srednjim rukovodećim pozicijama - 13. ICLS,Postotak,Žene,18.8
2018,Udio žena na višim i srednjim rukovodećim pozicijama - 13. ICLS,Postotak,Žene,26.1
2019,Udio žena na višim i srednjim rukovodećim pozicijama - 13. ICLS,Postotak,Žene,25.4
2020,Udio žena na višim i srednjim rukovodećim pozicijama - 13. ICLS,Postotak,Žene,24.9
2021,Udio žena na višim i srednjim rukovodećim pozicijama - 13. ICLS,Postotak,Žene,20.2
