Year,SERIES,UNIT_MEASURE,Spol,Value
2000,SG_GEN_PARLN,Broj,Žene,3.0
2001,SG_GEN_PARLN,Broj,Žene,3.0
2002,SG_GEN_PARLN,Broj,Žene,7.0
2003,SG_GEN_PARLN,Broj,Žene,7.0
2004,SG_GEN_PARLN,Broj,Žene,7.0
2005,SG_GEN_PARLN,Broj,Žene,7.0
2006,SG_GEN_PARLN,Broj,Žene,7.0
2007,SG_GEN_PARLN,Broj,Žene,6.0
2008,SG_GEN_PARLN,Broj,Žene,5.0
2009,SG_GEN_PARLN,Broj,Žene,5.0
2010,SG_GEN_PARLN,Broj,Žene,8.0
2011,SG_GEN_PARLN,Broj,Žene,7.0
2012,SG_GEN_PARLN,Broj,Žene,9.0
2013,SG_GEN_PARLN,Broj,Žene,9.0
2014,SG_GEN_PARLN,Broj,Žene,9.0
2015,SG_GEN_PARLN,Broj,Žene,9.0
2016,SG_GEN_PARLN,Broj,Žene,9.0
2017,SG_GEN_PARLN,Broj,Žene,9.0
2018,SG_GEN_PARLN,Broj,Žene,9.0
2019,SG_GEN_PARLN,Broj,Žene,9.0
2020,SG_GEN_PARLN,Broj,Žene,9.0
2021,SG_GEN_PARLN,Broj,Žene,11.0
2000,SG_GEN_PARLNT,Broj,Oba spola ili bez podjele po spolu,42.0
2001,SG_GEN_PARLNT,Broj,Oba spola ili bez podjele po spolu,42.0
2002,SG_GEN_PARLNT,Broj,Oba spola ili bez podjele po spolu,42.0
2003,SG_GEN_PARLNT,Broj,Oba spola ili bez podjele po spolu,42.0
2004,SG_GEN_PARLNT,Broj,Oba spola ili bez podjele po spolu,42.0
2005,SG_GEN_PARLNT,Broj,Oba spola ili bez podjele po spolu,42.0
2006,SG_GEN_PARLNT,Broj,Oba spola ili bez podjele po spolu,42.0
2007,SG_GEN_PARLNT,Broj,Oba spola ili bez podjele po spolu,42.0
2008,SG_GEN_PARLNT,Broj,Oba spola ili bez podjele po spolu,42.0
2009,SG_GEN_PARLNT,Broj,Oba spola ili bez podjele po spolu,42.0
2010,SG_GEN_PARLNT,Broj,Oba spola ili bez podjele po spolu,42.0
2011,SG_GEN_PARLNT,Broj,Oba spola ili bez podjele po spolu,42.0
2012,SG_GEN_PARLNT,Broj,Oba spola ili bez podjele po spolu,42.0
2013,SG_GEN_PARLNT,Broj,Oba spola ili bez podjele po spolu,42.0
2014,SG_GEN_PARLNT,Broj,Oba spola ili bez podjele po spolu,42.0
2015,SG_GEN_PARLNT,Broj,Oba spola ili bez podjele po spolu,42.0
2016,SG_GEN_PARLNT,Broj,Oba spola ili bez podjele po spolu,42.0
2017,SG_GEN_PARLNT,Broj,Oba spola ili bez podjele po spolu,42.0
2018,SG_GEN_PARLNT,Broj,Oba spola ili bez podjele po spolu,42.0
2019,SG_GEN_PARLNT,Broj,Oba spola ili bez podjele po spolu,42.0
2020,SG_GEN_PARLNT,Broj,Oba spola ili bez podjele po spolu,42.0
2021,SG_GEN_PARLNT,Broj,Oba spola ili bez podjele po spolu,42.0
2018,SG_GEN_LOCGELS,Postotak,Žene,18.59
2020,SG_GEN_LOCGELS,Postotak,Žene,19.5973
2000,SG_GEN_PARL,Postotak,Žene,7.14
2001,SG_GEN_PARL,Postotak,Žene,7.14
2002,SG_GEN_PARL,Postotak,Žene,16.67
2003,SG_GEN_PARL,Postotak,Žene,16.67
2004,SG_GEN_PARL,Postotak,Žene,16.67
2005,SG_GEN_PARL,Postotak,Žene,16.67
2006,SG_GEN_PARL,Postotak,Žene,16.67
2007,SG_GEN_PARL,Postotak,Žene,14.29
2008,SG_GEN_PARL,Postotak,Žene,11.9
2009,SG_GEN_PARL,Postotak,Žene,11.9
2010,SG_GEN_PARL,Postotak,Žene,19.05
2011,SG_GEN_PARL,Postotak,Žene,16.67
2012,SG_GEN_PARL,Postotak,Žene,21.43
2013,SG_GEN_PARL,Postotak,Žene,21.43
2014,SG_GEN_PARL,Postotak,Žene,21.43
2015,SG_GEN_PARL,Postotak,Žene,21.43
2016,SG_GEN_PARL,Postotak,Žene,21.43
2017,SG_GEN_PARL,Postotak,Žene,21.43
2018,SG_GEN_PARL,Postotak,Žene,21.43
2019,SG_GEN_PARL,Postotak,Žene,21.43
2020,SG_GEN_PARL,Postotak,Žene,21.43
2021,SG_GEN_PARL,Postotak,Žene,26.19
