Year,SERIES,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Value
2020,IS_RDP_FRGVOL,T_KM,MOT_AIR,
2018,IS_RDP_FRGVOL,T_KM,MOT_IWW,
2019,IS_RDP_FRGVOL,T_KM,MOT_IWW,
2019,IS_RDP_FRGVOL,T_KM,MOT_RAI,
2020,IS_RDP_FRGVOL,T_KM,MOT_RAI,
2018,IS_RDP_FRGVOL,T_KM,MOT_ROA,
2020,IS_RDP_FRGVOL,T_KM,MOT_ROA,
2019,IS_RDP_PFVOL,P_KM,MOT_AIR,7353050.0
2018,IS_RDP_PFVOL,P_KM,MOT_RAI,
2019,IS_RDP_PFVOL,P_KM,MOT_RAI,
2020,IS_RDP_PFVOL,P_KM,MOT_RAI,
2018,IS_RDP_PFVOL,P_KM,MOT_ROA,
2019,IS_RDP_PFVOL,P_KM,MOT_ROA,
2020,IS_RDP_PFVOL,P_KM,MOT_ROA,
