Year,SERIES,UNIT_MEASURE,SEX,Value
2000,SH_STA_SCIDEN,NUMBER,_T,404.0
2005,SH_STA_SCIDEN,NUMBER,_T,350.0
2010,SH_STA_SCIDEN,NUMBER,_T,298.0
2015,SH_STA_SCIDEN,NUMBER,_T,315.0
2016,SH_STA_SCIDEN,NUMBER,_T,308.0
2000,SH_STA_SCIDEN,NUMBER,F,85.0
2005,SH_STA_SCIDEN,NUMBER,F,72.0
2010,SH_STA_SCIDEN,NUMBER,F,62.0
2015,SH_STA_SCIDEN,NUMBER,F,67.0
2016,SH_STA_SCIDEN,NUMBER,F,65.0
2000,SH_STA_SCIDEN,NUMBER,M,319.0
2005,SH_STA_SCIDEN,NUMBER,M,278.0
2010,SH_STA_SCIDEN,NUMBER,M,236.0
2015,SH_STA_SCIDEN,NUMBER,M,249.0
2016,SH_STA_SCIDEN,NUMBER,M,243.0
2000,SH_STA_SCIDE,PER_100000_POP,_T,10.7
2005,SH_STA_SCIDE,PER_100000_POP,_T,9.3
2010,SH_STA_SCIDE,PER_100000_POP,_T,8.0
2015,SH_STA_SCIDE,PER_100000_POP,_T,8.9
2016,SH_STA_SCIDE,PER_100000_POP,_T,8.8
2000,SH_STA_SCIDE,PER_100000_POP,F,4.4
2005,SH_STA_SCIDE,PER_100000_POP,F,3.7
2010,SH_STA_SCIDE,PER_100000_POP,F,3.3
2015,SH_STA_SCIDE,PER_100000_POP,F,3.7
2016,SH_STA_SCIDE,PER_100000_POP,F,3.6
2000,SH_STA_SCIDE,PER_100000_POP,M,17.3
2005,SH_STA_SCIDE,PER_100000_POP,M,15.0
2010,SH_STA_SCIDE,PER_100000_POP,M,12.9
2015,SH_STA_SCIDE,PER_100000_POP,M,14.3
2016,SH_STA_SCIDE,PER_100000_POP,M,14.1
