Year,SERIES,UNIT_MEASURE,Value
2000,NY_GDP_PCAP,PT,5.19
2001,NY_GDP_PCAP,PT,2.57
2002,NY_GDP_PCAP,PT,4.93
2003,NY_GDP_PCAP,PT,3.82
2004,NY_GDP_PCAP,PT,6.26
2005,NY_GDP_PCAP,PT,3.87
2006,NY_GDP_PCAP,PT,5.41
2007,NY_GDP_PCAP,PT,5.93
2008,NY_GDP_PCAP,PT,5.67
2009,NY_GDP_PCAP,PT,-2.52
2010,NY_GDP_PCAP,PT,1.7
2011,NY_GDP_PCAP,PT,2.18
2012,NY_GDP_PCAP,PT,0.72
2013,NY_GDP_PCAP,PT,4.15
2014,NY_GDP_PCAP,PT,2.91
2015,NY_GDP_PCAP,PT,4.67
2016,NY_GDP_PCAP,PT,4.46
2017,NY_GDP_PCAP,PT,4.23
2018,NY_GDP_PCAP,PT,3.42
