Year,SERIES,UNIT_MEASURE,Value
2000,DC_FTA_TOTAL,CON_USD,114.81532
2001,DC_FTA_TOTAL,CON_USD,157.96189
2002,DC_FTA_TOTAL,CON_USD,125.59918
2003,DC_FTA_TOTAL,CON_USD,104.67249
2004,DC_FTA_TOTAL,CON_USD,71.52112
2005,DC_FTA_TOTAL,CON_USD,120.76763
2006,DC_FTA_TOTAL,CON_USD,149.61963
2007,DC_FTA_TOTAL,CON_USD,121.38869
2008,DC_FTA_TOTAL,CON_USD,100.75339
2009,DC_FTA_TOTAL,CON_USD,131.3208
2010,DC_FTA_TOTAL,CON_USD,90.77999
2011,DC_FTA_TOTAL,CON_USD,73.40769
2012,DC_FTA_TOTAL,CON_USD,67.32975
2013,DC_FTA_TOTAL,CON_USD,99.9125
2014,DC_FTA_TOTAL,CON_USD,70.98564
2015,DC_FTA_TOTAL,CON_USD,107.80012
2016,DC_FTA_TOTAL,CON_USD,50.99685
2017,DC_FTA_TOTAL,CON_USD,64.00353
2018,DC_FTA_TOTAL,CON_USD,107.62003
