Year,SERIES,UNIT_MEASURE,SEX,AGE,Value
2006,SL_TLF_NEET,PT,_T,Y15T24,34.7
2007,SL_TLF_NEET,PT,_T,Y15T24,31.3
2008,SL_TLF_NEET,PT,_T,Y15T24,26.4
2009,SL_TLF_NEET,PT,_T,Y15T24,25.5
2010,SL_TLF_NEET,PT,_T,Y15T24,28.3
2011,SL_TLF_NEET,PT,_T,Y15T24,27.8
2012,SL_TLF_NEET,PT,_T,Y15T24,28.5
2013,SL_TLF_NEET,PT,_T,Y15T24,26.0
2014,SL_TLF_NEET,PT,_T,Y15T24,26.3
2015,SL_TLF_NEET,PT,_T,Y15T24,28.1
2016,SL_TLF_NEET,PT,_T,Y15T24,27.0
2017,SL_TLF_NEET,PT,_T,Y15T24,24.5
2018,SL_TLF_NEET,PT,_T,Y15T24,22.1
2019,SL_TLF_NEET,PT,_T,Y15T24,21.2
2020,SL_TLF_NEET,PT,_T,Y15T24,21.8
2021,SL_TLF_NEET,PT,_T,Y15T24,19.3
2006,SL_TLF_NEET,PT,F,Y15T24,36.27
2007,SL_TLF_NEET,PT,F,Y15T24,32.48
2008,SL_TLF_NEET,PT,F,Y15T24,28.73
2009,SL_TLF_NEET,PT,F,Y15T24,26.4
2010,SL_TLF_NEET,PT,F,Y15T24,28.6
2011,SL_TLF_NEET,PT,F,Y15T24,26.69
2012,SL_TLF_NEET,PT,F,Y15T24,26.63
2013,SL_TLF_NEET,PT,F,Y15T24,24.87
2014,SL_TLF_NEET,PT,F,Y15T24,24.92
2015,SL_TLF_NEET,PT,F,Y15T24,26.54
2016,SL_TLF_NEET,PT,F,Y15T24,25.38
2017,SL_TLF_NEET,PT,F,Y15T24,25.08
2018,SL_TLF_NEET,PT,F,Y15T24,22.15
2019,SL_TLF_NEET,PT,F,Y15T24,22.72
2020,SL_TLF_NEET,PT,F,Y15T24,23.27
2021,SL_TLF_NEET,PT,F,Y15T24,19.87
2006,SL_TLF_NEET,PT,M,Y15T24,34.74
2007,SL_TLF_NEET,PT,M,Y15T24,32.24
2008,SL_TLF_NEET,PT,M,Y15T24,26.16
2009,SL_TLF_NEET,PT,M,Y15T24,26.84
2010,SL_TLF_NEET,PT,M,Y15T24,28.85
2011,SL_TLF_NEET,PT,M,Y15T24,29.79
2012,SL_TLF_NEET,PT,M,Y15T24,31.19
2013,SL_TLF_NEET,PT,M,Y15T24,28.23
2014,SL_TLF_NEET,PT,M,Y15T24,29.05
2015,SL_TLF_NEET,PT,M,Y15T24,29.94
2016,SL_TLF_NEET,PT,M,Y15T24,28.6
2017,SL_TLF_NEET,PT,M,Y15T24,25.86
2018,SL_TLF_NEET,PT,M,Y15T24,23.1
2019,SL_TLF_NEET,PT,M,Y15T24,22.5
2020,SL_TLF_NEET,PT,M,Y15T24,20.41
2021,SL_TLF_NEET,PT,M,Y15T24,18.77
2021,SL_TLF_NEET_19ICLS,PT,_T,Y15T24,20.16
2021,SL_TLF_NEET_19ICLS,PT,F,Y15T24,20.63
2021,SL_TLF_NEET_19ICLS,PT,M,Y15T24,19.72
