Year,SERIES,UNIT_MEASURE,Value
2000,DC_TOF_HLTHL,USD,9.08736
2001,DC_TOF_HLTHL,USD,5.4217
2002,DC_TOF_HLTHL,USD,5.51349
2003,DC_TOF_HLTHL,USD,9.48565
2004,DC_TOF_HLTHL,USD,4.58668
2005,DC_TOF_HLTHL,USD,4.99766
2006,DC_TOF_HLTHL,USD,17.4274
2007,DC_TOF_HLTHL,USD,10.9566
2008,DC_TOF_HLTHL,USD,7.03404
2009,DC_TOF_HLTHL,USD,2.58064
2010,DC_TOF_HLTHL,USD,7.81804
2011,DC_TOF_HLTHL,USD,6.13396
2012,DC_TOF_HLTHL,USD,6.7453
2013,DC_TOF_HLTHL,USD,5.6511
2014,DC_TOF_HLTHL,USD,11.1682
2015,DC_TOF_HLTHL,USD,5.29493
2016,DC_TOF_HLTHL,USD,38.0789
2017,DC_TOF_HLTHL,USD,36.2081
2018,DC_TOF_HLTHL,USD,13.1018
2019,DC_TOF_HLTHL,USD,8.61702
2020,DC_TOF_HLTHL,USD,14.6164
2010,DC_TOF_HLTHNT,USD,7.76131
2011,DC_TOF_HLTHNT,USD,6.07939
2012,DC_TOF_HLTHNT,USD,6.6857
2013,DC_TOF_HLTHNT,USD,5.31045
2014,DC_TOF_HLTHNT,USD,10.4097
2015,DC_TOF_HLTHNT,USD,4.37475
2016,DC_TOF_HLTHNT,USD,36.3256
2017,DC_TOF_HLTHNT,USD,33.9038
2018,DC_TOF_HLTHNT,USD,9.99989
2019,DC_TOF_HLTHNT,USD,5.45266
2020,DC_TOF_HLTHNT,USD,10.1759
