Value,en,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
ARTIFICIAL,Artificial surfaces,Vještačke površine,Вјештачке површине,Umjetne površine,6,1
CROPLAND,Croplands,Usjevi,Усјеви,Usjevi,6,1
GLACIERS,Permanent snow and glaciers,Trajni snijeg i glečeri,Трајни снијег и глечери,Trajni snijeg i ledenjaci,6,1
GRASSLAND,Grassland,Travnate površine,Травнате површине,Travnjak,6,1
HERB_AQUA_FLOOD,"Shrubs and/or herbaceous vegetation, aquatic or regularly flooded","Grmlje i/ili zeljasta vegetacija, vodena ili redovno plavljena područja","Грмље и/или зељаста вегетација, водена или редовно плављена подручја","Grmlje i/ili zeljasta vegetacija, vodena ili redovito plavljena područja",6,1
INLAND_WATER,Inland water bodies,Unutrašnje vodene površine,Унутрашње водене површине,Kopnena vodna tijela,6,1
MGCI,Mountain Green Cover Index (MGCI),Indeks zelenog pokrivača planine (MGCI),Индекс зеленог покривача планине(MGCI),Indeks zelenog pokrova planina (MGCI),6,1
SHRUB_COVERED,Shrub-covered areas,Površine prekrivene žbunjem,Површине прекривене жбуњем,Površine obrasle grmljem,6,1
SPARSE_NAT_VEG,Sparsely natural vegetated areas,Površine sa rijetkom vegetacijom,Површине са ријетком вегетацијом,Oskudno prirodna vegetacija,6,1
TERRESTRIAL_BARREN,Terrestrial barren land,Neplodna zemlja,Неплодна земља,Kopnena neplodna zemlja,6,1
TREE_COVERED,Tree-covered areas,Područja pokrivena drvećem,Подручја покривена дрвећем,Područja obrasla drvećem,6,1
