Value,en,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
isco08-0,isco08-0,isco08-0,isco08-0,isco08-0,3,1
isco08-1,isco08-1,isco08-1,isco08-1,isco08-1,3,1
isco08-2,isco08-2,isco08-2,isco08-2,isco08-2,3,1
isco08-3,isco08-3,isco08-3,isco08-3,isco08-3,3,1
isco08-4,isco08-4,isco08-4,isco08-4,isco08-4,3,1
isco08-5,isco08-5,isco08-5,isco08-5,isco08-5,2,1
isco08-6,isco08-6,isco08-6,isco08-6,isco08-6,3,1
isco08-7,isco08-7,isco08-7,isco08-7,isco08-7,3,1
isco08-8,isco08-8,isco08-8,isco08-8,isco08-8,3,1
isco08-9,isco08-9,isco08-9,isco08-9,isco08-9,3,1
isco08,isco08,isco08,isco08,isco08,3,1
ISCO08_221,ISCO08_221,ISCO08_221,ISCO08_221,ISCO08_221,3,1
ISCO08_222_322,ISCO08_222_322,ISCO08_222_322,ISCO08_222_322,ISCO08_222_322,3,1
ISCO08_2261,ISCO08_2261,ISCO08_2261,ISCO08_2261,ISCO08_2261,1,1
ISCO08_2262,ISCO08_2262,ISCO08_2262,ISCO08_2262,ISCO08_2262,1,1
